modelo,metrica,nombre_metrica,mejor_direccion,point_estimate,bootstrap_mean,bootstrap_median,bootstrap_standard_error,estimated_bias,confidence_lower,confidence_upper,confidence_interval_width,n_replicates
ECAPA-TDNN,eer,EER,lower,0.0625902012913027,0.059973948104864006,0.06011864197819215,0.012815682956352761,-0.0026162531864386968,0.03698215588389124,0.08489811013073185,0.047915954246840614,1000
x-vector,eer,EER,lower,0.17766805924800608,0.17455834243982843,0.17507425468883409,0.02079074269295145,-0.0031097168081776483,0.13276078438753494,0.21280498566351536,0.08004420127598041,1000
ECAPA-TDNN,auc,ROC-AUC,higher,0.9855791886813328,0.9860179245718795,0.9864678620866676,0.004888923959860917,0.00043873589054677087,0.9752513567381377,0.9935819614000281,0.018330604661890404,1000
x-vector,auc,ROC-AUC,higher,0.9068086481306172,0.9084228862774323,0.9087418424376952,0.017968017252355993,0.0016142381468150502,0.8734714631044403,0.9435637966006925,0.0700923334962521,1000
ECAPA-TDNN,min_dcf,minDCF normalizada,lower,0.1236612229396126,0.11864422847484783,0.11861078186101204,0.02561352768902241,-0.005016994464764765,0.07299956749802451,0.16910563641455092,0.09610606891652641,1000
x-vector,min_dcf,minDCF normalizada,lower,0.35070262058488416,0.34401073032190055,0.34517824189508406,0.04113176725852239,-0.006691890262983613,0.26047673304857144,0.4192771413532349,0.15880040830466347,1000
ECAPA-TDNN,cllr,C_llr,lower,0.2295334784984625,0.22524404328822226,0.22243570310372707,0.04451549195120096,-0.00428943521024025,0.15451678782341022,0.3161361226378421,0.16161933481443186,1000
x-vector,cllr,C_llr,lower,0.5732443446573506,0.5691685369524582,0.5693980206319338,0.05418857376166523,-0.004075807704892465,0.463324355095735,0.672584512968698,0.20926015787296304,1000
ECAPA-TDNN,cllr_min,C_llr mínimo,lower,0.22627420664121517,0.21637914298890623,0.21674214561133157,0.04365597184814803,-0.009895063652308939,0.14052681473761183,0.30066175745417734,0.1601349427165655,1000
x-vector,cllr_min,C_llr mínimo,lower,0.5505030799073443,0.5386176728688261,0.5412136003451404,0.04988994709170924,-0.011885407038518148,0.4312960500344826,0.6264841502997084,0.19518810026522576,1000
ECAPA-TDNN,calibration_loss,Pérdida de calibración,lower,0.0032592718572473367,0.008864900299316018,0.007514762906373776,0.004742001175161366,0.005605628442068682,0.0040627480473976844,0.020230718018087082,0.016167969970689398,1000
x-vector,calibration_loss,Pérdida de calibración,lower,0.022741264750006374,0.030550864083632126,0.027795981357715993,0.013155801442965171,0.007809599333625752,0.012295873793564198,0.061354608568854434,0.049058734775290234,1000
