modelo,metrica,nombre_metrica,point_estimate,bootstrap_standard_error,confidence_lower,confidence_upper,intervalo_confianza_95
ECAPA-TDNN,eer,EER,0.0625902012913027,0.012815682956352761,0.03698215588389124,0.08489811013073185,"[0.036982, 0.084898]"
x-vector,eer,EER,0.17766805924800608,0.02079074269295145,0.13276078438753494,0.21280498566351536,"[0.132761, 0.212805]"
ECAPA-TDNN,auc,ROC-AUC,0.9855791886813328,0.004888923959860917,0.9752513567381377,0.9935819614000281,"[0.975251, 0.993582]"
x-vector,auc,ROC-AUC,0.9068086481306172,0.017968017252355993,0.8734714631044403,0.9435637966006925,"[0.873471, 0.943564]"
ECAPA-TDNN,min_dcf,minDCF normalizada,0.1236612229396126,0.02561352768902241,0.07299956749802451,0.16910563641455092,"[0.073000, 0.169106]"
x-vector,min_dcf,minDCF normalizada,0.35070262058488416,0.04113176725852239,0.26047673304857144,0.4192771413532349,"[0.260477, 0.419277]"
ECAPA-TDNN,cllr,C_llr,0.2295334784984625,0.04451549195120096,0.15451678782341022,0.3161361226378421,"[0.154517, 0.316136]"
x-vector,cllr,C_llr,0.5732443446573506,0.05418857376166523,0.463324355095735,0.672584512968698,"[0.463324, 0.672585]"
ECAPA-TDNN,cllr_min,C_llr mínimo,0.22627420664121517,0.04365597184814803,0.14052681473761183,0.30066175745417734,"[0.140527, 0.300662]"
x-vector,cllr_min,C_llr mínimo,0.5505030799073443,0.04988994709170924,0.4312960500344826,0.6264841502997084,"[0.431296, 0.626484]"
ECAPA-TDNN,calibration_loss,Pérdida de calibración,0.0032592718572473367,0.004742001175161366,0.0040627480473976844,0.020230718018087082,"[0.004063, 0.020231]"
x-vector,calibration_loss,Pérdida de calibración,0.022741264750006374,0.013155801442965171,0.012295873793564198,0.061354608568854434,"[0.012296, 0.061355]"
