enrollment_speaker_id,n_trials,n_genuine,n_impostor,contains_both_classes
F_01,856,790,66,True
F_02,522,436,86,True
F_03,452,342,110,True
F_04,283,184,99,True
F_05,275,150,125,True
F_06,259,141,118,True
F_07,234,121,113,True
F_08,198,108,90,True
F_09,180,71,109,True
F_10,202,103,99,True
F_11,177,55,122,True
F_12,196,98,98,True
F_13,147,45,102,True
F_14,206,93,113,True
F_15,160,48,112,True
F_16,196,82,114,True
F_17,200,82,118,True
F_18,174,76,98,True
F_19,194,74,120,True
F_20,165,69,96,True
F_21,133,44,89,True
F_22,164,51,113,True
F_23,149,50,99,True
F_24,127,40,87,True
F_25,124,25,99,True
F_26,165,44,121,True
F_27,160,30,130,True
F_28,133,32,101,True
F_29,150,31,119,True
F_30,135,29,106,True
F_31,114,26,88,True
F_32,138,11,127,True
F_33,122,13,109,True
F_34,126,14,112,True
M_01,1350,1196,154,True
M_02,752,571,181,True
M_03,942,782,160,True
M_04,636,446,190,True
M_05,480,300,180,True
M_06,452,280,172,True
M_07,592,413,179,True
M_08,574,382,192,True
M_09,510,344,166,True
M_10,470,278,192,True
M_11,305,131,174,True
M_12,357,170,187,True
M_13,474,289,185,True
M_14,345,174,171,True
M_15,362,178,184,True
M_16,423,227,196,True
M_17,360,176,184,True
M_18,385,192,193,True
M_19,410,203,207,True
M_20,321,168,153,True
M_21,332,180,152,True
M_22,357,165,192,True
M_23,334,165,169,True
M_24,313,121,192,True
M_25,273,80,193,True
M_26,325,120,205,True
M_27,295,137,158,True
M_28,314,101,213,True
M_29,313,112,201,True
M_30,264,88,176,True
M_31,299,122,177,True
M_32,295,110,185,True
M_33,271,85,186,True
M_34,273,99,174,True
M_35,286,102,184,True
M_36,286,102,184,True
M_37,270,82,188,True
M_38,197,27,170,True
M_39,253,73,180,True
M_40,230,46,184,True
M_41,267,67,200,True
M_42,225,59,166,True
M_43,227,60,167,True
M_44,234,58,176,True
M_45,223,53,170,True
M_46,240,51,189,True
M_47,231,38,193,True
M_48,182,28,154,True
M_49,210,27,183,True
M_50,207,27,180,True
M_51,178,24,154,True
M_52,189,25,164,True
M_53,221,23,198,True
