replicate,attempt_id,n_sampled_group_draws,n_unique_sampled_groups,n_sampled_trials,n_genuine,n_impostor,x_vector_eer,x_vector_auc,x_vector_min_dcf,x_vector_cllr,x_vector_cllr_min,x_vector_calibration_loss,ecapa_tdnn_eer,ecapa_tdnn_auc,ecapa_tdnn_min_dcf,ecapa_tdnn_cllr,ecapa_tdnn_cllr_min,ecapa_tdnn_calibration_loss,difference_eer,difference_auc,difference_min_dcf,difference_cllr,difference_cllr_min,difference_calibration_loss
1,1,87,60,26769,13411,13358,0.18176373708639018,0.8992870227213352,0.3611234490966152,0.6043271653416874,0.5696459733306944,0.034681192010992956,0.04993262464440785,0.9898648009347646,0.09774488964858008,0.19037813058474568,0.1830939945450099,0.007284136039735767,0.13183111244198234,-0.09057777821342938,0.2633785594480351,0.4139490347569417,0.38655197878568454,0.02739705597125719
2,2,87,55,27187,14131,13056,0.18075980392156862,0.9023457798726136,0.3556407661208635,0.5759179929414456,0.5535277722762888,0.022390220665156835,0.05576392328922228,0.9878660773629386,0.11045743431386423,0.20765427529213132,0.1989578184947721,0.008696456797359225,0.12499588063234635,-0.08552029749032508,0.24518333180699925,0.3682637176493143,0.3545699537815167,0.01369376386779761
3,3,87,52,25140,11717,13423,0.16642485277801486,0.9130915727687603,0.32563172136529234,0.5554895322150952,0.5196726811063516,0.035816851108743664,0.04306041868434776,0.9924979887910201,0.08496641133016464,0.17502543832349776,0.15565775895097356,0.019367679372524205,0.1233644340936671,-0.07940641602225984,0.2406653100351277,0.38046409389159747,0.364014922155378,0.01644917173621946
4,4,87,56,24623,11777,12846,0.1706367740931029,0.9086292989402909,0.3395003991807854,0.5693865883385911,0.5451636216779234,0.0242229666606677,0.0497580028869831,0.9900255567977392,0.09736467575720908,0.19246260102906443,0.1825579476756901,0.009904653353374315,0.12087877120611981,-0.0813962578574483,0.2421357234235763,0.3769239873095267,0.3626056740022333,0.014318313307293384
5,5,87,52,27309,14257,13052,0.2052325173598934,0.880062188483375,0.40368513375077286,0.6607207783257001,0.608796847492227,0.05192393083347313,0.061752988047808766,0.9853156718279868,0.12339498223485595,0.22894718896375876,0.22413235163938028,0.004814837324378485,0.14347952931208463,-0.10525348334461182,0.2802901515159169,0.4317735893619413,0.3846644958528467,0.047109093509094646
6,6,87,60,29932,17000,12932,0.19088235294117648,0.9016473704081076,0.37816129619184513,0.5744446986498515,0.561977232206595,0.01246746644325647,0.09287039901020724,0.9719929904841615,0.18475781008351377,0.3348321572699945,0.3174772184625603,0.017354938807434217,0.09801195393096923,-0.07034562007605394,0.19340348610833136,0.239612541379857,0.24450001374403474,-0.004887472364177747
7,7,87,56,27154,13952,13202,0.17001146788990826,0.9088848860386041,0.3390858492562289,0.5689369551072723,0.5402387386403305,0.028698216466941817,0.04716169724770642,0.9898613205759066,0.09219319833038919,0.1863965300513972,0.17653122592896775,0.009865304122429447,0.12284977064220184,-0.08097643453730252,0.24689265092583973,0.38254042505587504,0.3637075127113627,0.01883291234451237
8,8,87,56,30297,16536,13761,0.21074049851028268,0.8829452359298295,0.4183902383305125,0.6371198224668322,0.6121200311912873,0.024999791275544858,0.0951862602805999,0.9699229664955198,0.18479414911137457,0.3930164924515358,0.3366144580016006,0.05640203444993519,0.11555423822968278,-0.08697773056569025,0.2335960892191379,0.24410333001529638,0.2755055731896867,-0.03140224317439033
9,9,87,60,25003,11991,13012,0.17545342760528743,0.9105578062786767,0.34882868781363663,0.5646378481219401,0.5412072521072323,0.02343059601470776,0.06440209037811251,0.9847880293609899,0.12798414263100233,0.23946991403911103,0.23511323048275085,0.00435668355636018,0.11105133722717492,-0.0742302230823132,0.2208445451826343,0.32516793408282907,0.30609402162448146,0.01907391245834758
10,10,87,54,26456,13440,13016,0.1770897357098955,0.9156373502987166,0.34815735029414346,0.5375694979708638,0.5249607926830477,0.012608705287816102,0.07997848801475108,0.977898530220132,0.15988920230046536,0.30586214693383884,0.29017322891157105,0.015688918022267795,0.09711124769514443,-0.06226117992141533,0.1882681479936781,0.231707351037025,0.2347875637714767,-0.0030802127344516927
