enrollment_speaker_id,calibration_fold
F_08,1
F_10,1
F_20,1
F_21,1
F_29,1
M_01,1
M_10,1
M_14,1
M_18,1
M_29,1
M_31,1
M_34,1
M_37,1
M_43,1
M_44,1
M_48,1
F_03,2
F_06,2
F_11,2
F_17,2
F_19,2
F_22,2
F_23,2
F_24,2
F_25,2
M_03,2
M_09,2
M_17,2
M_21,2
M_24,2
M_25,2
M_36,2
M_47,2
M_53,2
F_01,3
F_02,3
F_04,3
F_07,3
F_09,3
F_16,3
F_26,3
F_27,3
F_34,3
M_06,3
M_12,3
M_15,3
M_27,3
M_28,3
M_30,3
M_42,3
M_50,3
F_05,4
F_12,4
F_14,4
F_18,4
F_30,4
F_32,4
F_33,4
M_02,4
M_08,4
M_13,4
M_19,4
M_20,4
M_23,4
M_32,4
M_41,4
M_45,4
M_46,4
M_51,4
F_13,5
F_15,5
F_28,5
F_31,5
M_04,5
M_05,5
M_07,5
M_11,5
M_16,5
M_22,5
M_26,5
M_33,5
M_35,5
M_38,5
M_39,5
M_40,5
M_49,5
M_52,5
