trial_id,enrollment_speaker_id,enrollment_audio_id,test_speaker_id,test_audio_id,trial_type,same_speaker,same_gender,label,trial_class,xvector_cosine_score,ecapa_cosine_score
trial_000000,M_35,CMPL_M_35_15ALX_00068,M_03,CMPL_M_03_08MAB_00863,impostor,False,True,0,impostor,0.9241840839385986,0.23690667748451233
trial_000001,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_03ANG_00390,genuine,True,True,1,genuine,0.9220483899116516,0.3169049620628357
trial_000002,M_41,CMPL_M_41_14MAB_00025,M_41,CMPL_M_41_14MAB_00005,genuine,True,True,1,genuine,0.9330370426177979,0.5441425442695618
trial_000003,M_04,CMPL_M_04_02ANG_00433,M_04,CMPL_M_04_02ALX_00160,genuine,True,True,1,genuine,0.9471408128738403,0.5099658370018005
trial_000004,M_26,CMPL_M_26_03ALX_00015,M_35,CMPL_M_35_05MAB_00044,impostor,False,True,0,impostor,0.9054828882217407,0.15533742308616638
trial_000005,M_31,CMPL_M_31_11MAB_00120,M_26,CMPL_M_26_07ALX_00086,impostor,False,True,0,impostor,0.8544071316719055,0.2082696110010147
trial_000006,F_01,CMPL_F_01_12MAB_00651,F_01,CMPL_F_01_12ALX_00550,genuine,True,True,1,genuine,0.9358587265014648,0.5432590246200562
trial_000007,M_18,CMPL_M_18_05ALX_00058,M_09,CMPL_M_09_08MAB_00271,impostor,False,True,0,impostor,0.9217238426208496,0.20179979503154755
trial_000008,M_04,CMPL_M_04_02ANG_00433,M_04,CMPL_M_04_02ALX_00067,genuine,True,True,1,genuine,0.9203944206237793,0.4849240779876709
trial_000009,M_17,CMPL_M_17_07ANG_00057,M_17,CMPL_M_17_10MAB_00162,genuine,True,True,1,genuine,0.9324814081192017,0.5030783414840698
trial_000010,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_01ANG_00226,genuine,True,True,1,genuine,0.9231935739517212,0.4259004592895508
trial_000011,M_42,CMPL_M_42_06ALX_00060,M_05,CMPL_M_05_05ANG_00229,impostor,False,True,0,impostor,0.890190601348877,0.16178521513938904
trial_000012,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_04ANG_00771,genuine,True,True,1,genuine,0.9450872540473938,0.46129125356674194
trial_000013,M_20,CMPL_M_20_08ALX_00016,M_07,CMPL_M_07_01ANG_00046,impostor,False,True,0,impostor,0.8987091779708862,0.14585167169570923
trial_000014,M_06,CMPL_M_06_11ANG_00272,M_28,CMPL_M_28_12ANG_00077,impostor,False,True,0,impostor,0.8988144397735596,0.13906458020210266
trial_000015,M_22,CMPL_M_22_15ALX_00121,M_09,CMPL_M_09_09MAB_00443,impostor,False,True,0,impostor,0.9139909744262695,0.23944240808486938
trial_000016,M_27,CMPL_M_27_05MAB_00052,M_04,CMPL_M_04_02ANG_00179,impostor,False,True,0,impostor,0.8865761756896973,0.16275079548358917
trial_000017,M_10,CMPL_M_10_09ANG_00243,M_10,CMPL_M_10_09ANG_00099,genuine,True,True,1,genuine,0.934779167175293,0.5865910053253174
trial_000018,M_15,CMPL_M_15_08ANG_00211,M_15,CMPL_M_15_08ANG_00198,genuine,True,True,1,genuine,0.9368591904640198,0.4632410705089569
trial_000019,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_04ANG_00589,genuine,True,True,1,genuine,0.9343245625495911,0.3891330063343048
trial_000020,M_14,CMPL_M_14_06ANG_00222,M_11,CMPL_M_11_07ANG_00136,impostor,False,True,0,impostor,0.8873485922813416,0.005311645567417145
trial_000021,M_11,CMPL_M_11_07ANG_00036,M_11,CMPL_M_11_07ANG_00042,genuine,True,True,1,genuine,0.9381771087646484,0.4813712537288666
trial_000022,M_46,CMPL_M_46_04MAB_00011,M_13,CMPL_M_13_12MAB_00096,impostor,False,True,0,impostor,0.8329632878303528,0.10503646731376648
trial_000023,M_15,CMPL_M_15_08ANG_00211,M_15,CMPL_M_15_08ANG_00087,genuine,True,True,1,genuine,0.9598942995071411,0.6155920028686523
trial_000024,M_19,CMPL_M_19_11ALX_00110,M_19,CMPL_M_19_11ALX_00123,genuine,True,True,1,genuine,0.9673436284065247,0.5959345102310181
trial_000025,M_32,CMPL_M_32_03MAB_00021,M_32,CMPL_M_32_03MAB_00071,genuine,True,True,1,genuine,0.9472517967224121,0.5634108781814575
trial_000026,M_18,CMPL_M_18_05ALX_00058,M_18,CMPL_M_18_05ALX_00044,genuine,True,True,1,genuine,0.9630711078643799,0.5869566202163696
trial_000027,M_41,CMPL_M_41_14MAB_00025,M_28,CMPL_M_28_12ANG_00107,impostor,False,True,0,impostor,0.884028434753418,-0.0428759939968586
trial_000028,F_13,CMPL_F_13_11ANG_00086,F_22,CMPL_F_22_06ALX_00002,impostor,False,True,0,impostor,0.9263647794723511,0.2661907374858856
trial_000029,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_01ANG_00024,genuine,True,True,1,genuine,0.9314318299293518,0.3928634822368622
trial_000030,F_03,CMPL_F_03_09MAB_00142,F_03,CMPL_F_03_09MAB_00339,genuine,True,True,1,genuine,0.972715437412262,0.5916313529014587
trial_000031,M_25,CMPL_M_25_06ANG_00125,M_29,CMPL_M_29_12ALX_00104,impostor,False,True,0,impostor,0.8875873684883118,0.19534578919410706
