trial_id,enrollment_speaker_id,enrollment_audio_id,test_speaker_id,test_audio_id,trial_type,same_speaker,same_gender,label,trial_class,ecapa_cosine_score
trial_000000,M_35,CMPL_M_35_15ALX_00068,M_03,CMPL_M_03_08MAB_00863,impostor,False,True,0,impostor,0.23690667748451233
trial_000001,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_03ANG_00390,genuine,True,True,1,genuine,0.3169049620628357
trial_000002,M_41,CMPL_M_41_14MAB_00025,M_41,CMPL_M_41_14MAB_00005,genuine,True,True,1,genuine,0.5441425442695618
trial_000003,M_04,CMPL_M_04_02ANG_00433,M_04,CMPL_M_04_02ALX_00160,genuine,True,True,1,genuine,0.5099658370018005
trial_000004,M_26,CMPL_M_26_03ALX_00015,M_35,CMPL_M_35_05MAB_00044,impostor,False,True,0,impostor,0.15533742308616638
trial_000005,M_31,CMPL_M_31_11MAB_00120,M_26,CMPL_M_26_07ALX_00086,impostor,False,True,0,impostor,0.2082696110010147
trial_000006,F_01,CMPL_F_01_12MAB_00651,F_01,CMPL_F_01_12ALX_00550,genuine,True,True,1,genuine,0.5432590246200562
trial_000007,M_18,CMPL_M_18_05ALX_00058,M_09,CMPL_M_09_08MAB_00271,impostor,False,True,0,impostor,0.20179979503154755
trial_000008,M_04,CMPL_M_04_02ANG_00433,M_04,CMPL_M_04_02ALX_00067,genuine,True,True,1,genuine,0.4849240779876709
trial_000009,M_17,CMPL_M_17_07ANG_00057,M_17,CMPL_M_17_10MAB_00162,genuine,True,True,1,genuine,0.5030783414840698
trial_000010,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_01ANG_00226,genuine,True,True,1,genuine,0.4259004592895508
trial_000011,M_42,CMPL_M_42_06ALX_00060,M_05,CMPL_M_05_05ANG_00229,impostor,False,True,0,impostor,0.16178521513938904
trial_000012,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_04ANG_00771,genuine,True,True,1,genuine,0.46129125356674194
trial_000013,M_20,CMPL_M_20_08ALX_00016,M_07,CMPL_M_07_01ANG_00046,impostor,False,True,0,impostor,0.14585167169570923
trial_000014,M_06,CMPL_M_06_11ANG_00272,M_28,CMPL_M_28_12ANG_00077,impostor,False,True,0,impostor,0.13906458020210266
trial_000015,M_22,CMPL_M_22_15ALX_00121,M_09,CMPL_M_09_09MAB_00443,impostor,False,True,0,impostor,0.23944240808486938
trial_000016,M_27,CMPL_M_27_05MAB_00052,M_04,CMPL_M_04_02ANG_00179,impostor,False,True,0,impostor,0.16275079548358917
trial_000017,M_10,CMPL_M_10_09ANG_00243,M_10,CMPL_M_10_09ANG_00099,genuine,True,True,1,genuine,0.5865910053253174
trial_000018,M_15,CMPL_M_15_08ANG_00211,M_15,CMPL_M_15_08ANG_00198,genuine,True,True,1,genuine,0.4632410705089569
trial_000019,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_04ANG_00589,genuine,True,True,1,genuine,0.3891330063343048
trial_000020,M_14,CMPL_M_14_06ANG_00222,M_11,CMPL_M_11_07ANG_00136,impostor,False,True,0,impostor,0.005311645567417145
trial_000021,M_11,CMPL_M_11_07ANG_00036,M_11,CMPL_M_11_07ANG_00042,genuine,True,True,1,genuine,0.4813712537288666
trial_000022,M_46,CMPL_M_46_04MAB_00011,M_13,CMPL_M_13_12MAB_00096,impostor,False,True,0,impostor,0.10503646731376648
trial_000023,M_15,CMPL_M_15_08ANG_00211,M_15,CMPL_M_15_08ANG_00087,genuine,True,True,1,genuine,0.6155920028686523
trial_000024,M_19,CMPL_M_19_11ALX_00110,M_19,CMPL_M_19_11ALX_00123,genuine,True,True,1,genuine,0.5959345102310181
trial_000025,M_32,CMPL_M_32_03MAB_00021,M_32,CMPL_M_32_03MAB_00071,genuine,True,True,1,genuine,0.5634108781814575
trial_000026,M_18,CMPL_M_18_05ALX_00058,M_18,CMPL_M_18_05ALX_00044,genuine,True,True,1,genuine,0.5869566202163696
trial_000027,M_41,CMPL_M_41_14MAB_00025,M_28,CMPL_M_28_12ANG_00107,impostor,False,True,0,impostor,-0.0428759939968586
trial_000028,F_13,CMPL_F_13_11ANG_00086,F_22,CMPL_F_22_06ALX_00002,impostor,False,True,0,impostor,0.2661907374858856
trial_000029,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_01ANG_00024,genuine,True,True,1,genuine,0.3928634822368622
trial_000030,F_03,CMPL_F_03_09MAB_00142,F_03,CMPL_F_03_09MAB_00339,genuine,True,True,1,genuine,0.5916313529014587
trial_000031,M_25,CMPL_M_25_06ANG_00125,M_29,CMPL_M_29_12ALX_00104,impostor,False,True,0,impostor,0.19534578919410706
trial_000032,F_16,CMPL_F_16_03MAB_00082,F_26,CMPL_F_26_14MAB_00021,impostor,False,True,0,impostor,0.24074943363666534
trial_000033,M_16,CMPL_M_16_03ALX_00105,M_16,CMPL_M_16_03ALX_00094,genuine,True,True,1,genuine,0.6084288358688354
trial_000034,M_16,CMPL_M_16_03ALX_00105,M_16,CMPL_M_16_03ALX_00152,genuine,True,True,1,genuine,0.5984246134757996
trial_000035,M_51,CMPL_M_51_14ALX_00006,M_01,CMPL_M_01_04ANG_00492,impostor,False,True,0,impostor,0.07003078609704971
trial_000036,F_03,CMPL_F_03_09MAB_00142,F_03,CMPL_F_03_09MAB_00025,genuine,True,True,1,genuine,0.6638600826263428
trial_000037,F_21,CMPL_F_21_13ANG_00011,F_03,CMPL_F_03_09MAB_00247,impostor,False,True,0,impostor,0.17871733009815216
trial_000038,M_23,CMPL_M_23_01ALX_00103,M_23,CMPL_M_23_01ALX_00119,genuine,True,True,1,genuine,0.8242202997207642
trial_000039,F_07,CMPL_F_07_04ALX_00020,F_07,CMPL_F_07_04ALX_00010,genuine,True,True,1,genuine,0.6129647493362427
trial_000040,M_02,CMPL_M_02_03ANG_00022,M_02,CMPL_M_02_04ANG_00340,genuine,True,True,1,genuine,0.5991749167442322
trial_000041,M_13,CMPL_M_13_12MAB_00080,M_28,CMPL_M_28_12ANG_00084,impostor,False,True,0,impostor,0.11496768891811371
trial_000042,F_06,CMPL_F_06_13MAB_00049,F_06,CMPL_F_06_13MAB_00073,genuine,True,True,1,genuine,0.716343343257904
trial_000043,M_30,CMPL_M_30_10ALX_00103,M_30,CMPL_M_30_08ANG_00065,genuine,True,True,1,genuine,0.6118022799491882
trial_000044,M_30,CMPL_M_30_10ALX_00103,M_07,CMPL_M_07_07MAB_00406,impostor,False,True,0,impostor,-0.06632030755281448
trial_000045,M_03,CMPL_M_03_08MAB_00709,M_03,CMPL_M_03_07MAB_00533,genuine,True,True,1,genuine,0.6611745357513428
trial_000046,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_04ANG_00805,genuine,True,True,1,genuine,0.5206467509269714
trial_000047,F_02,CMPL_F_02_02MAB_00241,F_27,CMPL_F_27_03ANG_00014,impostor,False,True,0,impostor,0.31231725215911865
trial_000048,F_13,CMPL_F_13_11ANG_00086,F_19,CMPL_F_19_08CAR_00071,impostor,False,True,0,impostor,0.11022168397903442
trial_000049,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_14ALX_01696,genuine,True,True,1,genuine,0.3238886296749115
trial_000050,F_01,CMPL_F_01_12MAB_00651,F_01,CMPL_F_01_13ALX_00745,genuine,True,True,1,genuine,0.5574713945388794
