trial_id,enrollment_speaker_id,enrollment_audio_id,test_speaker_id,test_audio_id,trial_type,same_speaker,same_gender,label,trial_class,xvector_cosine_score
trial_000000,M_35,CMPL_M_35_15ALX_00068,M_03,CMPL_M_03_08MAB_00863,impostor,False,True,0,impostor,0.9241840839385986
trial_000001,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_03ANG_00390,genuine,True,True,1,genuine,0.9220483899116516
trial_000002,M_41,CMPL_M_41_14MAB_00025,M_41,CMPL_M_41_14MAB_00005,genuine,True,True,1,genuine,0.9330370426177979
trial_000003,M_04,CMPL_M_04_02ANG_00433,M_04,CMPL_M_04_02ALX_00160,genuine,True,True,1,genuine,0.9471408128738403
trial_000004,M_26,CMPL_M_26_03ALX_00015,M_35,CMPL_M_35_05MAB_00044,impostor,False,True,0,impostor,0.9054828882217407
trial_000005,M_31,CMPL_M_31_11MAB_00120,M_26,CMPL_M_26_07ALX_00086,impostor,False,True,0,impostor,0.8544071316719055
trial_000006,F_01,CMPL_F_01_12MAB_00651,F_01,CMPL_F_01_12ALX_00550,genuine,True,True,1,genuine,0.9358587265014648
trial_000007,M_18,CMPL_M_18_05ALX_00058,M_09,CMPL_M_09_08MAB_00271,impostor,False,True,0,impostor,0.9217238426208496
trial_000008,M_04,CMPL_M_04_02ANG_00433,M_04,CMPL_M_04_02ALX_00067,genuine,True,True,1,genuine,0.9203944206237793
trial_000009,M_17,CMPL_M_17_07ANG_00057,M_17,CMPL_M_17_10MAB_00162,genuine,True,True,1,genuine,0.9324814081192017
trial_000010,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_01ANG_00226,genuine,True,True,1,genuine,0.9231935739517212
trial_000011,M_42,CMPL_M_42_06ALX_00060,M_05,CMPL_M_05_05ANG_00229,impostor,False,True,0,impostor,0.890190601348877
trial_000012,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_04ANG_00771,genuine,True,True,1,genuine,0.9450872540473938
trial_000013,M_20,CMPL_M_20_08ALX_00016,M_07,CMPL_M_07_01ANG_00046,impostor,False,True,0,impostor,0.8987091779708862
trial_000014,M_06,CMPL_M_06_11ANG_00272,M_28,CMPL_M_28_12ANG_00077,impostor,False,True,0,impostor,0.8988144397735596
trial_000015,M_22,CMPL_M_22_15ALX_00121,M_09,CMPL_M_09_09MAB_00443,impostor,False,True,0,impostor,0.9139909744262695
trial_000016,M_27,CMPL_M_27_05MAB_00052,M_04,CMPL_M_04_02ANG_00179,impostor,False,True,0,impostor,0.8865761756896973
trial_000017,M_10,CMPL_M_10_09ANG_00243,M_10,CMPL_M_10_09ANG_00099,genuine,True,True,1,genuine,0.934779167175293
trial_000018,M_15,CMPL_M_15_08ANG_00211,M_15,CMPL_M_15_08ANG_00198,genuine,True,True,1,genuine,0.9368591904640198
trial_000019,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_04ANG_00589,genuine,True,True,1,genuine,0.9343245625495911
trial_000020,M_14,CMPL_M_14_06ANG_00222,M_11,CMPL_M_11_07ANG_00136,impostor,False,True,0,impostor,0.8873485922813416
trial_000021,M_11,CMPL_M_11_07ANG_00036,M_11,CMPL_M_11_07ANG_00042,genuine,True,True,1,genuine,0.9381771087646484
trial_000022,M_46,CMPL_M_46_04MAB_00011,M_13,CMPL_M_13_12MAB_00096,impostor,False,True,0,impostor,0.8329632878303528
trial_000023,M_15,CMPL_M_15_08ANG_00211,M_15,CMPL_M_15_08ANG_00087,genuine,True,True,1,genuine,0.9598942995071411
trial_000024,M_19,CMPL_M_19_11ALX_00110,M_19,CMPL_M_19_11ALX_00123,genuine,True,True,1,genuine,0.9673436284065247
trial_000025,M_32,CMPL_M_32_03MAB_00021,M_32,CMPL_M_32_03MAB_00071,genuine,True,True,1,genuine,0.9472517967224121
trial_000026,M_18,CMPL_M_18_05ALX_00058,M_18,CMPL_M_18_05ALX_00044,genuine,True,True,1,genuine,0.9630711078643799
trial_000027,M_41,CMPL_M_41_14MAB_00025,M_28,CMPL_M_28_12ANG_00107,impostor,False,True,0,impostor,0.884028434753418
