trial_id,enrollment_speaker_id,enrollment_audio_id,enrollment_audio_path,test_speaker_id,test_audio_id,test_audio_path,gender_enrollment,gender_test,trial_type,same_speaker,same_gender,label
trial_000000,M_35,CMPL_M_35_15ALX_00068,CMPL_M_35_15ALX_00068.flac,M_03,CMPL_M_03_08MAB_00863,CMPL_M_03_08MAB_00863.flac,male,male,impostor,False,True,0
trial_000001,M_01,CMPL_M_01_13ANG_01532,CMPL_M_01_13ANG_01532.flac,M_01,CMPL_M_01_03ANG_00390,CMPL_M_01_03ANG_00390.flac,male,male,genuine,True,True,1
trial_000002,M_41,CMPL_M_41_14MAB_00025,CMPL_M_41_14MAB_00025.flac,M_41,CMPL_M_41_14MAB_00005,CMPL_M_41_14MAB_00005.flac,male,male,genuine,True,True,1
trial_000003,M_04,CMPL_M_04_02ANG_00433,CMPL_M_04_02ANG_00433.flac,M_04,CMPL_M_04_02ALX_00160,CMPL_M_04_02ALX_00160.flac,male,male,genuine,True,True,1
trial_000004,M_26,CMPL_M_26_03ALX_00015,CMPL_M_26_03ALX_00015.flac,M_35,CMPL_M_35_05MAB_00044,CMPL_M_35_05MAB_00044.flac,male,male,impostor,False,True,0
trial_000005,M_31,CMPL_M_31_11MAB_00120,CMPL_M_31_11MAB_00120.flac,M_26,CMPL_M_26_07ALX_00086,CMPL_M_26_07ALX_00086.flac,male,male,impostor,False,True,0
trial_000006,F_01,CMPL_F_01_12MAB_00651,CMPL_F_01_12MAB_00651.flac,F_01,CMPL_F_01_12ALX_00550,CMPL_F_01_12ALX_00550.flac,female,female,genuine,True,True,1
trial_000007,M_18,CMPL_M_18_05ALX_00058,CMPL_M_18_05ALX_00058.flac,M_09,CMPL_M_09_08MAB_00271,CMPL_M_09_08MAB_00271.flac,male,male,impostor,False,True,0
trial_000008,M_04,CMPL_M_04_02ANG_00433,CMPL_M_04_02ANG_00433.flac,M_04,CMPL_M_04_02ALX_00067,CMPL_M_04_02ALX_00067.flac,male,male,genuine,True,True,1
trial_000009,M_17,CMPL_M_17_07ANG_00057,CMPL_M_17_07ANG_00057.flac,M_17,CMPL_M_17_10MAB_00162,CMPL_M_17_10MAB_00162.flac,male,male,genuine,True,True,1
